"filename", "language", "C++", "JSON", "Markdown", "CMake", "YAML", "Dart", "Swift", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\pubspec.yaml", "YAML", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 57, 15, 118
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 15, 5, 39
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\CMakeLists.txt", "CMake", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\flutter\generated_plugin_registrant.cc", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 33
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\z.liu\Documents\Project\ProjectWaiting\Crew\Demo\Crew.App\crew_app\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 577, 190, 4, 472, 56, 4927, 77, 19, 476, 74, 8, 1200, 979, 9059
